input_id	dealiased_id	standard_id	short_id
doi:10.7554/eLife.32822	doi:10.7554/eLife.32822	doi:10.7554/elife.32822	IhliSZDo
pmc:PMC6103790	pmc:PMC6103790	pmc:PMC6103790	mSMVRkoc
pubmed:30718888	pubmed:30718888	pubmed:30718888	126Wi5Us4
wikidata:Q56458321	wikidata:Q56458321	wikidata:Q56458321	QhC8yJ7V
isbn:9780262517638	isbn:9780262517638	isbn:9780262517638	zBPP9YKu
https://greenelab.github.io/meta-review/	https://greenelab.github.io/meta-review/	url:https://greenelab.github.io/meta-review/	1GGGHdsew
deep-review	doi:10.1098/rsif.2017.0387	doi:10.1098/rsif.2017.0387	PZMP42Ak
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
eservices1-22	eservices1-22	eservices1-22	19ZPD5YjC
eservices3-22	eservices3-22	eservices3-22	hQTPO0iI
eservices4-22	eservices4-22	eservices4-22	l0mriBft
eservices5-23	eservices5-23	eservices5-23	XhjOmyqw
eservices6-12	eservices6-12	eservices6-12	IGumhWwJ
eservices7-23	eservices7-23	eservices7-23	c3MMLZMM
bptrends07	bptrends07	bptrends07	eu2uss54
